location_name,timestamp,temperature_min,temperature_max,temperature_avg,precipitation,snowfall,snow_depth,heating_degree_days,cooling_degree_days
"San Francisco, CA",2022-11-25 00:00:00-07:00,9.4,19.4,14.4,0.0,0.0,0.0,4.0,0.0
"San Francisco, CA",2022-11-26 00:00:00-07:00,8.3,18.3,13.3,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2022-11-27 00:00:00-07:00,8.3,17.8,13.1,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2022-11-28 00:00:00-07:00,8.9,13.9,11.4,0.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2022-11-29 00:00:00-07:00,7.2,14.4,10.8,0.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2022-11-30 00:00:00-07:00,6.1,14.4,10.3,0.0,0.0,0.0,8.0,0.0
"San Francisco, CA",2022-12-01 00:00:00-07:00,8.9,11.7,10.3,21.3,0.0,0.0,8.0,0.0
"San Francisco, CA",2022-12-02 00:00:00-07:00,5.0,12.2,8.6,0.0,0.0,0.0,9.0,0.0
"San Francisco, CA",2022-12-03 00:00:00-07:00,6.7,9.4,8.1,3.0,0.0,0.0,11.0,0.0
"San Francisco, CA",2022-12-04 00:00:00-07:00,8.3,15.6,11.9,5.6,0.0,0.0,6.0,0.0
"San Francisco, CA",2022-12-05 00:00:00-07:00,10.6,15.0,12.8,3.6,0.0,0.0,6.0,0.0
"San Francisco, CA",2022-12-06 00:00:00-07:00,9.4,13.3,11.4,1.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2022-12-07 00:00:00-07:00,7.2,15.0,11.1,0.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2022-12-08 00:00:00-07:00,7.8,12.8,10.3,0.0,0.0,0.0,8.0,0.0
"San Francisco, CA",2022-12-09 00:00:00-07:00,7.2,12.8,10.0,1.0,0.0,0.0,8.0,0.0
"San Francisco, CA",2022-12-10 00:00:00-07:00,10.6,14.4,12.5,11.7,0.0,0.0,6.0,0.0
"San Francisco, CA",2022-12-11 00:00:00-07:00,6.7,11.7,9.2,18.5,0.0,0.0,9.0,0.0
"San Francisco, CA",2022-12-12 00:00:00-07:00,7.2,11.7,9.4,4.1,0.0,0.0,9.0,0.0
"San Francisco, CA",2022-12-13 00:00:00-07:00,5.6,13.3,9.4,0.0,0.0,0.0,9.0,0.0
"San Francisco, CA",2022-12-14 00:00:00-07:00,6.1,12.2,9.2,0.0,0.0,0.0,9.0,0.0
"San Francisco, CA",2022-12-15 00:00:00-07:00,7.2,15.0,11.1,0.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2022-12-16 00:00:00-07:00,7.2,13.3,10.3,0.0,0.0,0.0,8.0,0.0
"San Francisco, CA",2022-12-17 00:00:00-07:00,6.1,13.3,9.7,0.0,0.0,0.0,8.0,0.0
"San Francisco, CA",2022-12-18 00:00:00-07:00,6.1,11.7,8.9,0.0,0.0,0.0,9.0,0.0
"San Francisco, CA",2022-12-19 00:00:00-07:00,4.4,7.8,6.1,0.0,0.0,0.0,12.0,0.0
"San Francisco, CA",2022-12-20 00:00:00-07:00,6.7,12.2,9.4,0.0,0.0,0.0,9.0,0.0
"San Francisco, CA",2022-12-21 00:00:00-07:00,7.2,13.3,10.3,0.0,0.0,0.0,8.0,0.0
"San Francisco, CA",2022-12-22 00:00:00-07:00,6.7,11.1,8.9,0.0,0.0,0.0,9.0,0.0
"San Francisco, CA",2022-12-23 00:00:00-07:00,7.8,13.3,10.6,0.0,0.0,0.0,8.0,0.0
"San Francisco, CA",2022-12-24 00:00:00-07:00,8.9,16.1,12.5,0.0,0.0,0.0,6.0,0.0
"San Francisco, CA",2022-12-25 00:00:00-07:00,9.4,15.0,12.2,0.0,0.0,0.0,6.0,0.0
