location_name,timestamp,temperature_min,temperature_max,temperature_avg,precipitation,snowfall,snow_depth,heating_degree_days,cooling_degree_days
"San Francisco, CA",2019-08-04 00:00:00-07:00,13.3,20.0,16.7,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-08-05 00:00:00-07:00,13.9,21.1,17.5,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-08-06 00:00:00-07:00,13.9,20.0,16.9,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-08-07 00:00:00-07:00,13.3,18.3,15.8,0.0,0.0,0.0,3.0,0.0
"San Francisco, CA",2019-08-08 00:00:00-07:00,13.3,18.9,16.1,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-08-09 00:00:00-07:00,14.4,21.7,18.1,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-08-10 00:00:00-07:00,16.1,20.6,18.3,0.0,0.0,0.0,0.0,0.0
"San Francisco, CA",2019-08-11 00:00:00-07:00,13.3,23.3,18.3,0.0,0.0,0.0,0.0,0.0
"San Francisco, CA",2019-08-12 00:00:00-07:00,15.0,25.0,20.0,0.0,0.0,0.0,0.0,2.0
"San Francisco, CA",2019-08-13 00:00:00-07:00,14.4,24.4,19.4,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2019-08-14 00:00:00-07:00,15.0,28.9,21.9,0.0,0.0,0.0,0.0,4.0
"San Francisco, CA",2019-08-15 00:00:00-07:00,15.6,29.4,22.5,0.0,0.0,0.0,0.0,4.0
"San Francisco, CA",2019-08-16 00:00:00-07:00,15.0,22.2,18.6,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2019-08-17 00:00:00-07:00,14.4,20.6,17.5,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-08-18 00:00:00-07:00,13.9,22.2,18.1,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-08-19 00:00:00-07:00,13.9,18.3,16.1,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-08-20 00:00:00-07:00,15.0,18.3,16.7,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-08-21 00:00:00-07:00,14.4,23.3,18.9,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2019-08-22 00:00:00-07:00,16.1,22.8,19.4,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2019-08-23 00:00:00-07:00,15.0,21.7,18.3,0.0,0.0,0.0,0.0,0.0
"San Francisco, CA",2019-08-24 00:00:00-07:00,15.0,19.4,17.2,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-08-25 00:00:00-07:00,13.9,18.9,16.4,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-08-26 00:00:00-07:00,12.2,22.2,17.2,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-08-27 00:00:00-07:00,13.3,19.4,16.4,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-08-28 00:00:00-07:00,15.0,20.0,17.5,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-08-29 00:00:00-07:00,17.2,22.8,20.0,0.0,0.0,0.0,0.0,2.0
"San Francisco, CA",2019-08-30 00:00:00-07:00,15.6,19.4,17.5,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-08-31 00:00:00-07:00,15.6,24.4,20.0,0.0,0.0,0.0,0.0,2.0
"San Francisco, CA",2019-09-01 00:00:00-07:00,15.6,21.1,18.3,0.0,0.0,0.0,0.0,0.0
"San Francisco, CA",2019-09-02 00:00:00-07:00,15.6,17.8,16.7,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-09-03 00:00:00-07:00,13.3,19.4,16.4,0.0,0.0,0.0,2.0,0.0
