location_name,timestamp,temperature_min,temperature_max,temperature_avg,precipitation,snowfall,snow_depth,heating_degree_days,cooling_degree_days
"San Francisco, CA",2019-03-02 00:00:00-07:00,10.0,12.8,11.4,19.8,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-03-03 00:00:00-07:00,11.1,13.9,12.5,2.5,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-03-04 00:00:00-07:00,9.4,13.3,11.4,3.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-03-05 00:00:00-07:00,10.0,13.3,11.7,4.6,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-03-06 00:00:00-07:00,11.1,14.4,12.8,23.6,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-03-07 00:00:00-07:00,9.4,12.2,10.8,2.3,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-03-08 00:00:00-07:00,7.8,12.2,10.0,0.0,0.0,0.0,8.0,0.0
"San Francisco, CA",2019-03-09 00:00:00-07:00,7.8,12.8,10.3,4.6,0.0,0.0,8.0,0.0
"San Francisco, CA",2019-03-10 00:00:00-07:00,7.8,13.9,10.8,5.3,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-03-11 00:00:00-07:00,7.2,17.2,12.2,0.3,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-03-12 00:00:00-07:00,9.4,13.9,11.7,0.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-03-13 00:00:00-07:00,8.9,16.1,12.5,0.0,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-03-14 00:00:00-07:00,8.3,17.8,13.1,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-03-15 00:00:00-07:00,8.9,20.0,14.4,0.0,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-03-16 00:00:00-07:00,8.9,21.7,15.3,0.0,0.0,0.0,3.0,0.0
"San Francisco, CA",2019-03-17 00:00:00-07:00,9.4,22.2,15.8,0.0,0.0,0.0,3.0,0.0
"San Francisco, CA",2019-03-18 00:00:00-07:00,12.2,22.8,17.5,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-03-19 00:00:00-07:00,10.6,20.0,15.3,0.0,0.0,0.0,3.0,0.0
"San Francisco, CA",2019-03-20 00:00:00-07:00,10.6,15.6,13.1,16.8,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-03-21 00:00:00-07:00,9.4,15.6,12.5,0.0,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-03-22 00:00:00-07:00,10.0,13.3,11.7,8.6,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-03-23 00:00:00-07:00,10.0,14.4,12.2,8.4,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-03-24 00:00:00-07:00,8.9,18.3,13.6,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-03-25 00:00:00-07:00,11.1,16.7,13.9,2.5,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-03-26 00:00:00-07:00,9.4,17.8,13.6,2.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-03-27 00:00:00-07:00,11.7,16.1,13.9,3.6,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-03-28 00:00:00-07:00,11.7,17.2,14.4,2.0,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-03-29 00:00:00-07:00,9.4,15.0,12.2,0.0,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-03-30 00:00:00-07:00,9.4,17.8,13.6,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-03-31 00:00:00-07:00,10.0,22.2,16.1,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-04-01 00:00:00-07:00,11.7,16.1,13.9,0.5,0.0,0.0,4.0,0.0
