location_name,timestamp,temperature_min,temperature_max,temperature_avg,precipitation,snowfall,snow_depth,heating_degree_days,cooling_degree_days
"San Francisco, CA",2015-08-08 00:00:00-07:00,15.6,18.3,16.9,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2015-08-09 00:00:00-07:00,15.0,20.6,17.8,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-08-10 00:00:00-07:00,14.4,20.6,17.5,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-08-11 00:00:00-07:00,14.4,18.9,16.7,0.3,0.0,0.0,2.0,0.0
"San Francisco, CA",2015-08-12 00:00:00-07:00,14.4,24.4,19.4,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2015-08-13 00:00:00-07:00,15.6,20.6,18.1,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-08-14 00:00:00-07:00,16.1,21.7,18.9,0.3,0.0,0.0,0.0,1.0
"San Francisco, CA",2015-08-15 00:00:00-07:00,16.7,30.0,23.3,0.0,0.0,0.0,0.0,5.0
"San Francisco, CA",2015-08-16 00:00:00-07:00,15.6,32.2,23.9,0.0,0.0,0.0,0.0,6.0
"San Francisco, CA",2015-08-17 00:00:00-07:00,15.6,22.2,18.9,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2015-08-18 00:00:00-07:00,15.0,21.1,18.1,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-08-19 00:00:00-07:00,16.1,20.0,18.1,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-08-20 00:00:00-07:00,15.6,18.3,16.9,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2015-08-21 00:00:00-07:00,15.0,17.8,16.4,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2015-08-22 00:00:00-07:00,15.6,21.7,18.6,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2015-08-23 00:00:00-07:00,16.1,20.6,18.3,0.0,0.0,0.0,0.0,0.0
"San Francisco, CA",2015-08-24 00:00:00-07:00,15.6,21.1,18.3,0.0,0.0,0.0,0.0,0.0
"San Francisco, CA",2015-08-25 00:00:00-07:00,15.0,19.4,17.2,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-08-26 00:00:00-07:00,14.4,21.1,17.8,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-08-27 00:00:00-07:00,15.6,26.1,20.8,0.0,0.0,0.0,0.0,3.0
"San Francisco, CA",2015-08-28 00:00:00-07:00,18.3,30.6,24.4,0.0,0.0,0.0,0.0,6.0
"San Francisco, CA",2015-08-29 00:00:00-07:00,17.8,22.2,20.0,0.0,0.0,0.0,0.0,2.0
"San Francisco, CA",2015-08-30 00:00:00-07:00,16.7,21.7,19.2,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2015-08-31 00:00:00-07:00,15.6,23.9,19.7,0.0,0.0,0.0,0.0,2.0
"San Francisco, CA",2015-09-01 00:00:00-07:00,16.1,21.1,18.6,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2015-09-02 00:00:00-07:00,15.6,19.4,17.5,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-09-03 00:00:00-07:00,15.0,19.4,17.2,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-09-04 00:00:00-07:00,12.8,20.0,16.4,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2015-09-05 00:00:00-07:00,12.8,23.3,18.1,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2015-09-06 00:00:00-07:00,15.0,27.2,21.1,0.0,0.0,0.0,0.0,3.0
"San Francisco, CA",2015-09-07 00:00:00-07:00,14.4,32.8,23.6,0.0,0.0,0.0,0.0,5.0
